event_id,target,lepton_pt,lepton_eta,lepton_phi,mem_pt,mem_phi,jet1_pt,jet1_eta,jet1_phi,jet1_btag,jet2_pt,jet2_eta,jet2_phi,jet2_btag,jet3_pt,jet3_eta,jet3_phi,jet3_btag,jet4_pt,jet4_eta,jet4_phi,jet4_btag,m_jj,m_jjj,m_lv,m_jlv,m_bb,m_wbb,m_wwbb
1000001 , 1 , 34.7506 , 0.787025 , 1.89889 , 20.8624 , -2.623 , 44.8141 , -0.168171 , 2.63159 , 2.00002 , 57.6895 , -0.161628 , -0.682047 , 0 , 71.9542 , 1.15423 , -2.85851 , 2.00002 , 79.948 , 0.877472 , -0.256736 , 0 , 81.7244 , 189.583 , 80.1183 , 170.086 , 91.1282 , 298.469 , 374.686
1000002 , 1 , 54.2509 , -1.05792 , 2.3107 , 51.1679 , 2.54575 , 31.039 , -2.22028 , -0.737298 , 0 , 52.2215 , -1.09429 , -0.252777 , 2.00002 , 42.7256 , 1.47483 , 2.90614 , 0 , 71.6814 , -1.13912 , -1.30032 , 2.00002 , 65.8377 , 201.097 , 83.3216 , 208.04 , 67.1185 , 287.364 , 527.248
1000003 , 1 , 47.746 , -0.783184 , 2.66033 , 68.1655 , -1.70079 , 36.9453 , -1.15174 , -0.626912 , 0 , 118.881 , -0.211263 , 1.3269 , 0 , 40.954 , -1.14944 , 2.12315 , 1.00001 , 113.247 , -0.798898 , -1.60555 , 2.00002 , 69.3169 , 156.335 , 95.3076 , 149.089 , 130.389 , 237.879 , 336.059
1000004 , 0 , 45.9501 , 1.61382 , 0.964722 , 39.3021 , -0.0759893 , 84.3074 , 0.465748 , 2.28778 , 2.00002 , 46.788 , 0.441073 , -1.30335 , 0 , 15.2604 , 2.40905 , -0.8505 , 0 , 30.7413 , -0.586711 , -2.25625 , 2.00002 , 71.0321 , 182.342 , 81.9419 , 164.411 , 93.7095 , 237.9 , 392.808
1000005 , 0 , 44.4092 , -0.228907 , -1.83797 , 49.8867 , 0.156533 , 32.8521 , 2.56165 , 2.64146 , 0 , 46.2832 , -1.48827 , -2.52436 , 2 , 29.6646 , -0.031725 , -1.19249 , 0 , 138.742 , 0.293522 , 1.39142 , 0 , 122.03 , 288.594 , 84.3865 , 150.3 , 69.8183 , 435.99 , 533.978
1000006 , 1 , 47.9607 , 0.113996 , 1.0608 , 106.162 , 2.01569 , 60.5258 , -0.102381 , -2.32009 , 0 , 123.111 , 0.490156 , -1.06129 , 1.99994 , 33.6493 , 0.280342 , 2.1353 , 0 , 42.8617 , 1.54055 , -0.419176 , 0 , 77.4437 , 184.854 , 79.6684 , 140.052 , 42.0612 , 319.923 , 412.157
1000007 , 1 , 46.4421 , 0.985508 , -1.62664 , 26.8009 , -2.04521 , 53.4168 , 0.993135 , 0.138351 , 0 , 55.1097 , 1.25058 , 3.0032 , 1.00001 , 15.9325 , 1.18888 , -0.360576 , 0 , 61.113 , -0.641036 , 1.5198 , 1.99994 , 16.8875 , 153.892 , 75.5029 , 154.075 , 145.113 , 285.293 , 367.909
1000008 , 0 , 40.197 , 0.0197777 , -3.08766 , 86.0595 , 1.25137 , 90.8235 , -0.155913 , -2.22294 , 2.00002 , 92.7541 , -0.372654 , -0.643558 , 2.00002 , 22.155 , 1.29053 , -0.0196697 , 0 , 54.3766 , -0.481523 , 1.79584 , 0 , 81.359 , 175.508 , 97.6137 , 199.411 , 126.515 , 310.691 , 405.148
1000009 , 0 , 31.4906 , -1.10083 , -0.548881 , 46.3513 , 0.409934 , 59.7197 , 1.35406 , 2.18917 , 0 , 53.3835 , -0.126176 , -2.36605 , 2 , 120.977 , -0.807105 , -1.35914 , 1.00001 , 77.7649 , -0.015128 , 1.99587 , 0 , 74.3854 , 163.476 , 79.8645 , 186.274 , 96.3463 , 347.698 , 455.717
1000010 , 1 , 41.0407 , 0.121702 , -1.62334 , 57.9113 , 2.29313 , 56.7817 , -0.769391 , -1.46034 , 0 , 43.8696 , -1.11434 , 0.380104 , 0 , 59.761 , 0.785001 , 0.752367 , 1.99994 , 64.8611 , 1.04232 , -3.13732 , 1 , 78.3625 , 201.901 , 92.4822 , 150.611 , 118.026 , 342.895 , 401.708
